"question","objective_difficulty","unbounded_objective_difficulty"
1,0.00460829493087556,-5.37527840768417
2,0.142857142857143,-1.79175946922805
3,0.32258064516129,-0.741937344729377
4,0.313364055299539,-0.784438600769353
5,0.451612903225806,-0.194156014440957
6,0.47926267281106,-0.0829969195709678
7,0.6036866359447,0.420850026947644
8,0.529953917050691,0.119959315078979
9,0.433179723502304,-0.268889573102414
10,0.585253456221198,0.344377416128326
11,0.47926267281106,-0.0829969195709678
12,0.834101382488479,1.61497809280972
13,0.981566820276498,3.97499780458953
14,1,Inf
15,0.903225806451613,2.23359222150709
