"question","perceived_difficulty","unbounded_perceived_difficulty","objective_difficulty","unbounded_objective_difficulty"
1,0.0892857142857143,-2.32238772029023,0.00460829493087556,-5.37527840768417
2,0.305820895522388,-0.819730380985197,0.142857142857143,-1.79175946922805
3,0.337236842105263,-0.675632219381579,0.32258064516129,-0.741937344729377
4,0.386315789473684,-0.462825338295922,0.313364055299539,-0.784438600769353
5,0.464096385542169,-0.143862063012402,0.451612903225806,-0.194156014440957
6,0.439402985074627,-0.243585360479387,0.47926267281106,-0.0829969195709678
7,0.461194029850746,-0.155536681435135,0.6036866359447,0.420850026947644
8,0.454625,-0.182000728136621,0.529953917050691,0.119959315078979
9,0.361111111111111,-0.570544858467613,0.433179723502304,-0.268889573102414
10,0.440875,-0.237611673196796,0.585253456221198,0.344377416128326
11,0.462352941176471,-0.150873779024943,0.47926267281106,-0.0829969195709678
12,0.601194029850746,0.410442719181917,0.834101382488479,1.61497809280972
13,0.401486486486486,-0.399275228460591,0.695852534562212,0.827625094788499
14,0.62859375,0.526188704589595,0.861751152073733,1.82991123519243
15,0.641891891891892,0.583584978048419,0.903225806451613,2.23359222150709
